interval,perturbation_density,recovery_beta,gamma,decay,structural_reachable,effective_reachable,accessible_fraction,effective_edges,structural_edges,edge_fraction,weighted_mean_path_cost,weighted_max_path_cost,weighted_efficiency,mean_r,min_r,mean_D,max_D,regime
20,0.05,0.041999999999999996,0.138,0.013999999999999999,144,128,0.8888888888888888,228,264,0.8636363636363636,12.637358269799055,56.64834710989041,0.10617350072897737,0.8927344509957792,0.0,0.10048706393934292,4.6247843272112545,strained
20,0.05,0.048,0.132,0.016,144,128,0.8888888888888888,228,264,0.8636363636363636,12.140996235382723,50.18505701270073,0.10748886632683681,0.9020978061491972,0.0,0.08587935839897787,3.952483983354288,strained
20,0.05,0.054000000000000006,0.126,0.018000000000000002,144,135,0.9375,243,264,0.9204545454545454,11.921399494428893,47.74581496278118,0.10842131797567219,0.9111571292034546,0.0,0.07358497502545147,3.386651235241223,healthy
20,0.05,0.06,0.12,0.02,144,135,0.9375,243,264,0.9204545454545454,11.656315497299346,41.311749979738295,0.10923275930993219,0.9198189221580976,0.0,0.06320867155138722,2.9090955798166886,healthy
25,0.04,0.012,0.16799999999999998,0.004,144,128,0.8888888888888888,228,264,0.8636363636363636,13.134856317141557,64.16608780665496,0.10538858674251807,0.8888888888888888,0.0,0.23985490257879855,11.03900493023464,trapped
25,0.04,0.018000000000000002,0.16199999999999998,0.006000000000000001,144,128,0.8888888888888888,228,264,0.8636363636363636,13.128297047954687,64.10705438397315,0.10542856796444842,0.8888888888888888,0.0,0.20721304594236434,9.536706613762947,trapped
25,0.04,0.024,0.156,0.008,144,128,0.8888888888888888,228,264,0.8636363636363636,13.122763359870428,64.0572511912148,0.10546280676436788,0.8888888888888888,0.0,0.17984287071308444,8.277030467688984,trapped
25,0.04,0.030000000000000002,0.15,0.01,144,128,0.8888888888888888,228,264,0.8636363636363636,13.11808017975999,64.01510257022085,0.10549215597106561,0.8888888888888888,0.0,0.15679845199939024,7.2164415488892635,fragile
25,0.04,0.036000000000000004,0.144,0.012000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,13.11410323058372,63.979310027634426,0.10551735322548159,0.8888888888888888,0.0,0.137314256575553,6.319707202278471,fragile
25,0.04,0.041999999999999996,0.138,0.013999999999999999,144,128,0.8888888888888888,228,264,0.8636363636363636,13.027718242019079,62.63569155347868,0.1056214099190078,0.8893981910209483,0.0,0.12076947682215347,5.558255577551215,strained
